"Title:","Added Fats and Oils from the Food Availability Database"
"SubTitle:","USA - Category: Salad and Cooking Oils - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1966 - 2010"
"Unit of Measure:","Million pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Added Fats and Oils: Added Fats and Oils |  | Salad and Cooking Oils - Supply and use | Supply: Total, 1966 - 2010. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-011 doi:https://doi.org/10.6068/DP17D23E4780551"
"ColumnCount:","2"
"RowCount:","45"

"Time","USA"
"1966",3081.6
"1967",3060.9
"1968",3139.2
"1969",3281.1
"1970",3521.9
"1971",3637.3
"1972",4014.2
"1973",4038.4
"1974",4238.5
"1975",4111.8
"1976",4496.3
"1977",4511
"1978",5009.1
"1979",5258.7
"1980",5364.5
"1981",5531
"1982",5524
"1983",5971.4
"1984",5819.7
"1985",6223.9
"1986",6448.4
"1987",6893.9
"1988",7152.9
"1989",6794.1
"1990",6613.3
"1991",6931.8
"1992",7290.9
"1993",7290.9
"1994",7430.2
"1995",7671
"1996",7594.4
"1997",8464.3
"1998",8489.3
"1999",8819
"2000",10428.8
"2001",10920.3
"2002",12151.3
"2003",12223.2
"2004",12300
"2005",13248.4
"2006",14011.8
"2007",15728
"2008",17196.4
"2009",16247.7
"2010",17175.7



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
