"Title:","Added Fats and Oils from the Food Availability Database"
"SubTitle:","USA - Category: Butter - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1921 - 2017"
"Unit of Measure:","Million pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Added Fats and Oils: Added Fats and Oils |  | Butter - Supply and use | Supply: Total, 1921 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-011 doi:https://doi.org/10.6068/DP17D23E3215B46"
"ColumnCount:","2"
"RowCount:","96"

"Time","USA"
"1921",1825
"1922",1925
"1923",2041
"1924",2115
"1925",2155
"1926",2192
"1927",2230
"1928",2170
"1929",2231
"1930",2234
"1931",2304
"1932",2335
"1933",2398
"1934",2398
"1935",2281
"1936",2218
"1937",2207
"1938",2297
"1939",2340
"1940",2296
"1941",2313
"1942",2264
"1943",2043
"1944",1978
"1945",1731
"1946",1550
"1947",1667
"1948",1526
"1949",1720
"1950",1781
"1951",1548
"1952",1429
"1953",1680
"1954",1911
"1955",1925
"1956",1719
"1957",1561
"1958",1575
"1959",1482
"1960",1470
"1961",1615
"1962",1806
"1963",1815
"1964",1742
"1965",1419
"1966",1182
"1967",1272
"1968",1345
"1969",1259
"1970",1228
"1971",1264.5
"1972",1200.8
"1973",1082.1
"1974",1010.1
"1975",1035
"1976",991.5
"1977",1134.7
"1978",1181.2
"1979",1193.5
"1980",1325
"1981",1535.8
"1982",1689.1
"1983",1769.1
"1984",1605.7
"1985",1548.3
"1986",1412.9
"1987",1302.1
"1988",1355.8
"1989",1515.1
"1990",1563.4
"1991",1756.8
"1993",1766.9
"1994",1533.6
"1995",1345
"1996",1197.7
"1997",1177.4
"1998",1229.8
"1999",1318.6
"2000",1297.1
"2001",1301.4
"2002",1428.6
"2003",1416.5
"2004",1383.4
"2005",1414.1
"2006",1526.5
"2007",1658.3
"2008",1811.9
"2009",1707
"2010",1705.1
"2011",1901.7
"2012",1981.6
"2013",2027.3
"2014",1991.9
"2015",1995.6
"2016",2046.7
"2017",2071.3



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
