"Title:","Added Fats and Oils from the Food Availability Database"
"SubTitle:","USA - Category: Margarine - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1921 - 2010"
"Unit of Measure:","Million pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Added Fats and Oils: Added Fats and Oils |  | Margarine - Supply and use | Supply: Total, 1921 - 2010. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-011 doi:https://doi.org/10.6068/DP17D23E3FC3B49"
"ColumnCount:","2"
"RowCount:","90"

"Time","USA"
"1921",216
"1922",185
"1923",228
"1924",232
"1925",234
"1926",242
"1927",278
"1928",316
"1929",355
"1930",325
"1931",232
"1932",203
"1933",244
"1934",264
"1935",381
"1936",392
"1937",397
"1938",385
"1939",302
"1940",319
"1941",369
"1942",427
"1943",640
"1944",611
"1945",648
"1946",596
"1947",750
"1948",908
"1949",862
"1950",950
"1951",1055
"1952",1305
"1953",1317
"1954",1386
"1955",1361
"1956",1394
"1957",1491
"1958",1599
"1959",1649
"1960",1729
"1961",1757
"1962",1759
"1963",1833
"1964",1893
"1965",1952
"1966",2152
"1967",2167
"1968",2201
"1969",2231
"1970",2282
"1971",2336
"1972",2421
"1973",2428
"1974",2459
"1975",2463.6
"1976",2689.8
"1977",2602.2
"1978",2599.4
"1979",2622.7
"1980",2673.3
"1981",2650.6
"1982",2657
"1983",2513.3
"1984",2536.5
"1985",2658.7
"1986",2850.7
"1987",2636
"1988",2613.7
"1989",2594.1
"1990",2830.2
"1991",2790.9
"1992",2909.4
"1993",2968.7
"1994",2692.8
"1995",2556.6
"1996",2543.9
"1997",2417.4
"1998",2363.5
"1999",2319.1
"2000",2452.9
"2001",2077.6
"2002",1950.9
"2003",1596.4
"2004",1603.4
"2005",1268.3
"2006",1482.7
"2007",1483.5
"2008",1390.8
"2009",1254.3
"2010",1233.3



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
